step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,223.493806,Discharge,546.712194,546.712194,39.044421,49.91,optimal,1803037.116618,17.140127,10.586549,11.426751,7.729861,26.718433,26.046271,26.718433,11.09067,0.0,0.0,19.996814,6.049456,32.095727,8.738104,7.561821,11.594791
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,180.755806,Discharge,546.712194,546.712194,30.183843,49.09,optimal,1803037.116618,13.862475,8.562117,9.24165,6.251705,21.609153,21.065526,21.609153,8.969837,0.0,0.0,16.172888,4.892638,25.958165,7.067144,6.115798,9.377557
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,81.667806,Discharge,546.712194,546.712194,26.180519,48.45,optimal,1803037.116618,6.263245,3.868475,4.175497,2.824601,9.763294,9.517677,9.763294,4.052688,0.0,0.0,7.30712,2.210557,11.728234,3.193027,2.763196,4.236901
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,40.859806,Discharge,546.712194,546.712194,24.177587,48.17,optimal,1803037.116618,3.133609,1.935465,2.089073,1.413196,4.884744,4.761857,4.884744,2.027629,0.0,0.0,3.655877,1.10598,5.867837,1.597526,1.382475,2.119794
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,1.483806,Discharge,546.712194,546.712194,24.104851,48.03,optimal,1803037.116618,0.113796,0.070286,0.075864,0.05132,0.177387,0.172925,0.177387,0.073633,0.0,0.0,0.132762,0.040163,0.213088,0.058013,0.050204,0.076979
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-0.696194,Charge,546.712194,546.712194,24.138978,48.03,optimal,1803037.116618,-0.053392,-0.032978,-0.035595,-0.024079,-0.083229,-0.081135,-0.083229,-0.034548,-0.0,-0.0,-0.062291,-0.018844,-0.09998,-0.02722,-0.023555,-0.036118
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-10.430194,Charge,546.712194,546.712194,24.650262,48.04,optimal,1803037.116618,-0.79991,-0.494062,-0.533273,-0.360744,-1.246918,-1.215549,-1.246918,-0.517589,-0.0,-0.0,-0.933228,-0.282321,-1.49787,-0.407797,-0.352901,-0.541115
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-15.206194,Charge,546.712194,546.712194,25.395664,48.09,optimal,1803037.116618,-1.166189,-0.720293,-0.77746,-0.525928,-1.817883,-1.77215,-1.817883,-0.754593,-0.0,-0.0,-1.360554,-0.411596,-2.183747,-0.594528,-0.514495,-0.788893
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-17.528194,Charge,546.712194,546.712194,26.254889,48.14,optimal,1803037.116618,-1.344267,-0.830283,-0.896178,-0.606238,-2.095476,-2.042759,-2.095476,-0.86982,-0.0,-0.0,-1.568312,-0.474447,-2.517207,-0.685313,-0.593059,-0.909357
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-21.178194,Charge,546.712194,546.712194,27.293036,48.19,optimal,1803037.116618,-1.624192,-1.003178,-1.082795,-0.732479,-2.531829,-2.468135,-2.531829,-1.050948,-0.0,-0.0,-1.894891,-0.573244,-3.04138,-0.82802,-0.716555,-1.098718
11,1,7-Jan-13,5:30,0.03,564.876,0.07,564.876,0.07,564.806,18.093806,Discharge,546.712194,546.712194,26.406085,48.27,optimal,1803037.116618,1.387645,0.857075,0.925097,0.625801,2.163094,2.108677,2.163094,0.897888,0.0,0.0,1.61892,0.489757,2.598434,0.707427,0.612196,0.938701
