step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,-98.988344,Charge,869.194345,869.194344,50.372137,50.03,optimal,-324.645074,-7.591587,-4.688922,-5.061058,-3.423657,-11.833945,-11.536236,-11.833945,-4.912204,-0.0,-0.0,-8.856852,-2.679384,-14.215619,-3.870221,-3.34923,-5.135485
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,-141.726344,Charge,869.194345,869.194344,50.904942,50.44,optimal,-324.645074,-10.869238,-6.713353,-7.246159,-4.901813,-16.943225,-16.51698,-16.943225,-7.033037,-0.0,-0.0,-12.680778,-3.836202,-20.353182,-5.54118,-4.795252,-7.35272
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,-240.814343,Charge,869.194344,869.194343,51.810259,51.01,optimal,-324.645074,-18.468468,-11.406995,-12.312312,-8.328917,-28.789083,-28.064829,-28.789083,-11.950185,-0.0,-0.0,-21.546547,-6.518283,-34.583112,-9.415298,-8.147854,-12.493376
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,-281.622343,Charge,869.194344,869.194343,52.86899,51.92,optimal,-324.645074,-21.598105,-13.340006,-14.398736,-9.740322,-33.667633,-32.820649,-33.667633,-13.975244,-0.0,-0.0,-25.197789,-7.62286,-40.443509,-11.010798,-9.528576,-14.610482
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,-320.998343,Charge,869.194344,869.194343,54.07575,53.01,optimal,-324.645074,-24.617918,-15.205185,-16.411945,-11.102198,-38.37499,-37.409581,-38.37499,-15.929241,-0.0,-0.0,-28.720904,-8.688677,-46.098258,-12.550311,-10.860846,-16.653297
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-323.178342,Charge,869.194343,869.194342,55.290707,54.24,optimal,-324.645074,-24.785106,-15.308448,-16.523404,-11.177597,-38.635606,-37.663641,-38.635606,-16.037421,-0.0,-0.0,-28.915957,-8.747684,-46.411326,-12.635544,-10.934606,-16.766395
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-332.912342,Charge,869.194343,869.194342,56.542257,55.47,optimal,-324.645074,-25.531623,-15.769532,-17.021082,-11.514261,-39.799295,-38.798055,-39.799295,-16.520462,-0.0,-0.0,-29.786894,-9.011161,-47.809216,-13.016122,-11.263951,-17.271392
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-337.688341,Charge,869.194342,869.194341,57.811762,56.74,optimal,-324.645074,-25.897903,-15.995764,-17.265269,-11.679446,-40.37026,-39.354656,-40.37026,-16.757467,-0.0,-0.0,-30.21422,-9.140436,-48.495093,-13.202852,-11.425545,-17.51917
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-340.01034,Charge,869.194341,869.19434,59.089996,58.02,optimal,-324.645074,-26.075981,-16.105753,-17.383987,-11.759756,-40.647853,-39.625265,-40.647853,-16.872694,-0.0,-0.0,-30.421978,-9.203287,-48.828553,-13.293637,-11.504109,-17.639634
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-343.66034,Charge,869.194341,869.19434,60.381952,59.29,optimal,-324.645074,-26.355906,-16.278648,-17.570604,-11.885997,-41.084206,-40.050641,-41.084206,-17.053821,-0.0,-0.0,-30.748557,-9.302084,-49.352725,-13.436344,-11.627605,-17.828995
11,1,7-Jan-13,5:30,0.03,564.876,0.07,564.876,0.07,564.806,-304.388339,Charge,869.19434,869.194339,61.526269,60.55,optimal,-324.645074,-23.344068,-14.418395,-15.562712,-10.527717,-36.389283,-35.473829,-36.389283,-15.104985,-0.0,-0.0,-27.234746,-8.239083,-43.712912,-11.900897,-10.298854,-15.791575
12,1,7-Jan-13,6:00,0.03,582.84,0.108,582.84,0.108,582.732,-286.462338,Charge,869.194339,869.194338,62.603195,61.67,optimal,-324.645074,-21.969292,-13.569269,-14.646195,-9.90772,-34.246249,-33.384709,-34.246249,-14.215424,-0.0,-0.0,-25.630841,-7.753868,-41.138576,-11.200031,-9.692335,-14.86158
13,1,7-Jan-13,6:30,0.03,585.75,5.42,585.75,5.42,580.33,-288.864337,Charge,869.194338,869.194337,63.689151,62.75,optimal,-324.645074,-22.153506,-13.683048,-14.769004,-9.990797,-34.533406,-33.664641,-34.533406,-14.334621,-0.0,-0.0,-25.845756,-7.818884,-41.483525,-11.293944,-9.773605,-14.986195
14,1,7-Jan-13,7:00,0.03,638.194,49.568,638.194,49.568,588.626,-280.568336,Charge,869.194337,869.194336,64.743919,63.83,optimal,-324.645074,-21.517271,-13.290079,-14.344847,-9.703867,-33.541628,-32.697814,-33.541628,-13.92294,-0.0,-0.0,-25.103483,-7.594331,-40.292144,-10.969589,-9.492914,-14.555801
15,1,7-Jan-13,7:30,0.06,665.806,127.012,665.806,127.012,538.794,229.196833,Discharge,309.597168,309.597167,63.882277,64.71,optimal,-324.645074,17.577501,10.856692,11.718334,7.927109,27.400223,26.710909,27.400223,11.373677,0.0,0.0,20.507085,6.203824,32.914733,8.961079,7.75478,11.890663
