step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,-98.988326,Charge,869.19433,869.194326,50.372136,50.03,optimal,-324.645079,-7.591586,-4.688921,-5.061057,-3.423656,-11.833943,-11.536233,-11.833943,-4.912203,-0.0,-0.0,-8.85685,-2.679383,-14.215617,-3.87022,-3.349229,-5.135485
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,-141.726327,Charge,869.19433,869.194327,50.904942,50.44,optimal,-324.645079,-10.869237,-6.713352,-7.246158,-4.901813,-16.943223,-16.516978,-16.943223,-7.033036,-0.0,-0.0,-12.680777,-3.836201,-20.353179,-5.54118,-4.795252,-7.352719
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,-240.814328,Charge,869.19433,869.194328,51.810259,51.01,optimal,-324.645079,-18.468467,-11.406994,-12.312312,-8.328917,-28.789081,-28.064828,-28.789081,-11.950185,-0.0,-0.0,-21.546545,-6.518283,-34.58311,-9.415297,-8.147853,-12.493375
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,-281.622329,Charge,869.194328,869.194329,52.86899,51.92,optimal,-324.645079,-21.598103,-13.340005,-14.398736,-9.740321,-33.667632,-32.820647,-33.667632,-13.975243,-0.0,-0.0,-25.197787,-7.62286,-40.443507,-11.010798,-9.528575,-14.610482
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,-320.998329,Charge,869.194326,869.194329,54.07575,53.01,optimal,-324.645079,-24.617917,-15.205184,-16.411945,-11.102198,-38.374988,-37.40958,-38.374988,-15.92924,-0.0,-0.0,-28.720903,-8.688677,-46.098256,-12.550311,-10.860846,-16.653297
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-323.178329,Charge,869.194324,869.194329,55.290706,54.24,optimal,-324.645079,-24.785105,-15.308447,-16.523403,-11.177596,-38.635605,-37.66364,-38.635605,-16.037421,-0.0,-0.0,-28.915956,-8.747684,-46.411324,-12.635544,-10.934605,-16.766394
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-332.912328,Charge,869.194322,869.194328,56.542256,55.47,optimal,-324.645079,-25.531622,-15.769531,-17.021081,-11.514261,-39.799293,-38.798053,-39.799293,-16.520461,-0.0,-0.0,-29.786892,-9.011161,-47.809214,-13.016121,-11.263951,-17.271391
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-337.688327,Charge,869.194321,869.194327,57.811761,56.74,optimal,-324.645079,-25.897902,-15.995763,-17.265268,-11.679446,-40.370259,-39.354655,-40.370259,-16.757466,-0.0,-0.0,-30.214219,-9.140436,-48.495091,-13.202852,-11.425545,-17.519169
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-340.010326,Charge,869.194319,869.194326,59.089996,58.02,optimal,-324.645079,-26.07598,-16.105752,-17.383987,-11.759756,-40.647851,-39.625264,-40.647851,-16.872693,-0.0,-0.0,-30.421977,-9.203287,-48.828551,-13.293637,-11.504109,-17.639633
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-343.660326,Charge,869.194319,869.194326,60.381952,59.29,optimal,-324.645079,-26.355905,-16.278647,-17.570603,-11.885996,-41.084204,-40.05064,-41.084204,-17.053821,-0.0,-0.0,-30.748555,-9.302084,-49.352724,-13.436344,-11.627605,-17.828994
11,1,7-Jan-13,5:30,0.03,564.876,0.07,564.876,0.07,564.806,-304.388326,Charge,869.194318,869.194326,61.526269,60.55,optimal,-324.645079,-23.344067,-14.418394,-15.562711,-10.527717,-36.389281,-35.473827,-36.389281,-15.104985,-0.0,-0.0,-27.234745,-8.239083,-43.71291,-11.900897,-10.298853,-15.791575
12,1,7-Jan-13,6:00,0.03,582.84,0.108,582.84,0.108,582.732,-286.462326,Charge,869.194319,869.194326,62.603195,61.67,optimal,-324.645079,-21.969291,-13.569268,-14.646194,-9.90772,-34.246248,-33.384707,-34.246248,-14.215424,-0.0,-0.0,-25.63084,-7.753867,-41.138575,-11.200031,-9.692334,-14.861579
13,1,7-Jan-13,6:30,0.03,585.75,5.42,585.75,5.42,580.33,-288.864326,Charge,869.194319,869.194326,63.689151,62.75,optimal,-324.645079,-22.153505,-13.683047,-14.769003,-9.990796,-34.533404,-33.66464,-34.533404,-14.334621,-0.0,-0.0,-25.845756,-7.818884,-41.483524,-11.293944,-9.773605,-14.986194
14,1,7-Jan-13,7:00,0.03,638.194,49.568,638.194,49.568,588.626,-280.568326,Charge,869.194319,869.194326,64.74392,63.83,optimal,-324.645079,-21.51727,-13.290079,-14.344847,-9.703867,-33.541627,-32.697812,-33.541627,-13.92294,-0.0,-0.0,-25.103482,-7.594331,-40.292143,-10.969589,-9.492913,-14.5558
15,1,7-Jan-13,7:30,0.06,665.806,127.012,665.806,127.012,538.794,229.196833,Discharge,309.59716,309.597167,63.882277,64.71,optimal,-324.645079,17.577501,10.856692,11.718334,7.927108,27.400223,26.710909,27.400223,11.373677,0.0,0.0,20.507085,6.203824,32.914733,8.961079,7.75478,11.890663
16,1,7-Jan-13,8:00,0.06,636.794,237.926,636.794,237.926,398.868,89.270833,Discharge,309.59716,309.597167,63.546673,63.88,optimal,-324.645079,6.846335,4.228618,4.564223,3.087563,10.672227,10.403744,10.672227,4.429981,0.0,0.0,7.98739,2.416353,12.820097,3.490288,3.020442,4.631344
17,1,7-Jan-13,8:30,0.06,676.108,366.944,676.108,366.944,309.164,-0.433166,Idle,309.597161,309.597166,63.548301,63.58,optimal,-324.645079,-0.03322,-0.020518,-0.022147,-0.014982,-0.051784,-0.050482,-0.051784,-0.021495,-0.0,-0.0,-0.038757,-0.011725,-0.062207,-0.016936,-0.014656,-0.022473
18,1,7-Jan-13,9:00,0.06,729.828,505.332,729.828,505.332,224.496,-85.101165,Charge,309.597161,309.597165,63.868231,63.61,optimal,-324.645079,-6.526556,-4.031108,-4.351037,-2.943349,-10.173748,-9.917805,-10.173748,-4.223065,-0.0,-0.0,-7.614315,-2.30349,-12.221295,-3.327264,-2.879363,-4.415023
19,1,7-Jan-13,9:30,0.06,680.404,658.94,680.404,658.94,21.464,-288.133165,Charge,309.597161,309.597165,64.951438,64.03,optimal,-324.645079,-22.097431,-13.648413,-14.73162,-9.965508,-34.445995,-33.579429,-34.445995,-14.298337,-0.0,-0.0,-25.780336,-7.799093,-41.378522,-11.265357,-9.748866,-14.948262
20,1,7-Jan-13,10:00,0.06,682.818,829.604,682.818,829.604,-146.786,-456.383164,Charge,309.597162,309.597164,66.667164,65.17,optimal,-324.645079,-35.000814,-21.61815,-23.333876,-15.784681,-54.560093,-53.187512,-54.560093,-22.647586,-0.0,-0.0,-40.834283,-12.353228,-65.54074,-17.843552,-15.441536,-23.677021
21,1,7-Jan-13,10:30,0.06,710.68,970.704,710.68,970.704,-260.024,-569.621163,Charge,309.597162,309.597163,68.808597,66.93,optimal,-324.645079,-43.685232,-26.982055,-29.123488,-19.701183,-68.097568,-66.384421,-68.097568,-28.266915,-0.0,-0.0,-50.966104,-15.418317,-81.802738,-22.270903,-19.272897,-29.551775
22,1,7-Jan-13,11:00,0.06,757.052,1171.376,757.052,1171.376,-414.324,-723.921163,Charge,309.597163,309.597163,71.530105,69.14,optimal,-324.645079,-55.518766,-34.291002,-37.012511,-25.037875,-86.543959,-84.366752,-86.543959,-35.923907,-0.0,-0.0,-64.771893,-19.594859,-103.961611,-28.303685,-24.493573,-37.556812
23,1,7-Jan-13,11:30,0.06,721.462,1275.472,721.462,1275.472,-554.01,-863.607162,Charge,309.597163,309.597162,74.776749,71.94,optimal,-324.645079,-66.231527,-40.907708,-44.154351,-29.86912,-103.243262,-100.645947,-103.243262,-42.855694,-0.0,-0.0,-77.270114,-23.375833,-124.02178,-33.765092,-29.219791,-44.80368
24,1,7-Jan-13,12:00,0.06,763.036,1318.254,763.036,1318.254,-555.218,-864.815162,Charge,309.597164,309.597162,78.027934,75.17,optimal,-324.645079,-66.32417,-40.964929,-44.216114,-29.9109,-103.387677,-100.786729,-103.387677,-42.91564,-0.0,-0.0,-77.378199,-23.408531,-124.19526,-33.812322,-29.260663,-44.86635
25,1,7-Jan-13,12:30,0.06,817.948,1394.428,817.948,1394.428,-576.48,-886.077161,Charge,309.597164,309.597161,81.359051,78.42,optimal,-324.645079,-67.95479,-41.972076,-45.303193,-30.646278,-105.929525,-103.264632,-105.929525,-43.970746,-0.0,-0.0,-79.280588,-23.984043,-127.248675,-34.643618,-29.980054,-45.969417
26,1,7-Jan-13,13:00,0.06,850.872,1450.29,850.872,1450.29,-599.418,-909.015162,Charge,309.597165,309.597162,84.776401,81.76,optimal,-324.645079,-69.713945,-43.058613,-46.475963,-31.439622,-108.671737,-105.937857,-108.671737,-45.109023,-0.0,-0.0,-81.332936,-24.604922,-130.542779,-35.540442,-30.756152,-47.159433
27,1,7-Jan-13,13:30,0.06,832.132,1468.562,832.132,1468.562,-636.43,-946.027162,Charge,309.597166,309.597162,88.332894,85.21,optimal,-324.645079,-72.552459,-44.811813,-48.368306,-32.719736,-113.09648,-110.251286,-113.09648,-46.945709,-0.0,-0.0,-84.644536,-25.60675,-135.858036,-36.987528,-32.008438,-49.079605
28,1,7-Jan-13,14:00,0.06,867.434,1539.744,867.434,1539.744,-672.31,-981.907163,Charge,309.597167,309.597163,92.024274,88.8,optimal,-324.645079,-75.304158,-46.511392,-50.202772,-33.960699,-117.385894,-114.43279,-117.385894,-48.72622,-0.0,-0.0,-87.854851,-26.577938,-141.010728,-38.390355,-33.222423,-50.941048
29,1,7-Jan-13,14:30,0.3,966.92,1537.734,966.92,1537.734,-570.814,-432.733429,Charge,-138.080567,-138.080571,93.651092,92.27,optimal,-324.645079,-33.187075,-20.497899,-22.124717,-14.96672,-51.732793,-50.431339,-51.732793,-21.47399,-0.0,-0.0,-38.718254,-11.713085,-62.144425,-16.918901,-14.641357,-22.45008
30,1,7-Jan-13,15:00,0.3,1001.206,1483.066,1001.206,1483.066,-481.86,-343.779429,Charge,-138.080566,-138.080571,94.943495,93.85,optimal,-324.645079,-26.365039,-16.284289,-17.576693,-11.890116,-41.098443,-40.06452,-41.098443,-17.059731,-0.0,-0.0,-30.759212,-9.305308,-49.369828,-13.441,-11.631635,-17.835173
31,1,7-Jan-13,15:30,0.3,1117.768,1391.096,1117.768,1391.096,-273.328,-135.24743,Charge,-138.080566,-138.08057,95.451944,95.05,optimal,-324.645079,-10.372359,-6.406457,-6.914906,-4.677731,-16.168678,-15.761918,-16.168678,-6.711527,-0.0,-0.0,-12.101086,-3.660833,-19.422751,-5.287869,-4.576041,-7.016596
32,1,7-Jan-13,16:00,0.3,1215.124,1279.638,1215.124,1279.638,-64.514,73.56657,Discharge,-138.080566,-138.08057,95.175378,95.46,optimal,-324.645079,5.641947,3.484732,3.761298,2.544408,8.7948,8.573548,8.7948,3.650672,0.0,0.0,6.582272,1.991276,10.564823,2.876287,2.489094,3.816612
33,1,7-Jan-13,16:30,0.3,1177.174,1106.536,1177.174,1106.536,70.638,208.718569,Discharge,-138.080566,-138.080569,94.390722,95.12,optimal,-324.645079,16.006988,9.886669,10.671325,7.218838,24.95207,24.324344,24.95207,10.357463,0.0,0.0,18.674819,5.649525,29.97387,8.160425,7.061906,10.828257
34,1,7-Jan-13,17:00,0.3,1190.878,914.84,1190.878,914.84,276.038,414.118568,Discharge,-138.080566,-138.080568,92.833885,94.26,optimal,-324.645079,31.759469,19.616143,21.172979,14.322898,49.507408,48.261938,49.507408,20.550245,0.0,0.0,37.052714,11.209224,59.471163,16.191102,14.01153,21.484347
35,1,7-Jan-13,17:30,0.3,1282.982,728.164,1282.982,728.164,554.818,692.898567,Discharge,-138.080566,-138.080567,90.229003,92.58,optimal,-324.645079,53.139589,32.821511,35.426393,23.964913,82.835242,80.751337,82.835242,34.38444,0.0,0.0,61.996188,18.755149,99.506486,27.090771,23.443936,35.947369
36,1,7-Jan-13,18:00,0.3,1461.024,523.1,1461.024,523.1,937.924,1076.004567,Discharge,-138.080566,-138.080567,86.183873,89.84,optimal,-324.645079,82.520651,50.968637,55.013767,37.215196,128.635132,125.399028,128.635132,53.395715,0.0,0.0,96.274093,29.124936,154.523964,42.069351,36.40617,55.822793
37,1,7-Jan-13,18:30,0.3,1475.752,325.53,1475.752,325.53,1150.222,1288.302566,Discharge,-138.080566,-138.080566,81.340631,85.69,optimal,-324.645079,98.802152,61.024858,65.868101,44.557833,154.015119,150.140525,154.015119,63.930804,0.0,0.0,115.269177,34.871348,185.011872,50.369724,43.589185,66.83675
38,1,7-Jan-13,19:00,0.3,1447.248,165.692,1447.248,165.692,1281.556,1419.636567,Discharge,-138.080566,-138.080567,76.003651,80.79,optimal,-324.645079,108.874383,67.245943,72.582922,49.100212,169.71595,165.446367,169.71595,70.44813,0.0,0.0,127.020114,38.426253,203.87262,55.504588,48.032816,73.650318
39,1,7-Jan-13,19:30,0.3,1341.372,67.068,1341.372,67.068,1274.304,1412.384568,Discharge,-138.080567,-138.080568,70.693935,75.45,optimal,-324.645079,108.318215,66.902427,72.212143,48.849391,168.848982,164.601209,168.848982,70.088257,0.0,0.0,126.371251,38.229958,202.831167,55.221051,47.787448,73.274087
40,1,7-Jan-13,20:00,0.3,1296.616,12.324,1296.616,12.324,1284.292,1422.372569,Discharge,-138.080567,-138.080569,65.346669,70.15,optimal,-324.645079,109.084212,67.375543,72.722808,49.194841,170.043036,165.765224,170.043036,70.583902,0.0,0.0,127.264914,38.50031,204.265534,55.611559,48.125388,73.792261
41,1,7-Jan-13,20:30,0.06,1239.91,0.068,1239.91,0.068,1239.842,930.244835,Discharge,309.597167,309.597165,61.849508,64.99,optimal,-324.645079,71.342085,44.064229,47.56139,32.173881,111.209721,108.411992,111.209721,46.162526,0.0,0.0,83.232433,25.179559,133.591551,36.370475,31.474449,48.260822
